# observed, predict
45.0000,42.8432
41.0000,38.4485
38.0000,35.0969
43.0000,38.9706
38.0000,35.0524
31.0000,29.5729
28.0000,26.7598
27.0000,25.9528
34.0000,32.8245
25.0000,27.4765
24.0000,26.6396
29.0000,30.6548
34.0000,34.8776
17.0000,22.6915
30.0000,29.8776
54.0000,52.8902
52.0000,52.6069
52.0000,54.7059
53.0000,54.8405
52.0000,53.2086
68.0000,64.7384
62.0000,59.3280
80.0000,68.4378
61.0000,56.0597
52.0000,49.8834
50.0000,48.6648
45.0000,42.9061
46.0000,43.7120
44.0000,41.7788
35.0000,33.5231
26.0000,26.3349
27.0000,25.7497
26.0000,25.3971
21.0000,22.3395
19.0000,20.6395
23.0000,23.0613
27.0000,28.4781
33.0000,35.6094
38.0000,40.9214
40.0000,42.8534
38.0000,40.6667
29.0000,32.4581
39.0000,41.1696
49.0000,51.2372
52.0000,54.0771
88.0000,69.6230
100.0000,71.4986
125.0000,72.3498
88.0000,70.1030
73.0000,65.8394
74.0000,66.3114
68.0000,61.8426
31.0000,29.6478
24.0000,23.2394
18.0000,19.0632
22.0000,20.8015
37.0000,34.7064
17.0000,21.6368
21.0000,21.9301
20.0000,21.3643
26.0000,26.1125
24.0000,25.4589
28.0000,28.4954
33.0000,33.3158
27.0000,29.4630
35.0000,36.5998
47.0000,49.0069
45.0000,46.5804
63.0000,62.2570
64.0000,61.9636
68.0000,64.7844
78.0000,68.3550
64.0000,60.0964
71.0000,64.7010
75.0000,64.7093
48.0000,40.0436
43.0000,37.7185
52.0000,49.4438
35.0000,32.2174
28.0000,25.8018
26.0000,24.7003
18.0000,19.7081
29.0000,27.1849
27.0000,26.8375
28.0000,28.2302
15.0000,20.0632
14.0000,17.1715
31.0000,30.7430
35.0000,37.9530
31.0000,34.9030
30.0000,33.3989
39.0000,41.2840
59.0000,59.0739
75.0000,67.4480
91.0000,70.8193
69.0000,63.9310
66.0000,63.5148
51.0000,48.8136
38.0000,36.9540
32.0000,31.4643
18.0000,20.9490
22.0000,21.2960
25.0000,23.9805
19.0000,20.3636
21.0000,21.4061
22.0000,21.8351
20.0000,20.5387
26.0000,24.2706
38.0000,36.7181
37.0000,36.6776
50.0000,49.1755
44.0000,41.7847
49.0000,48.8501
50.0000,51.1057
52.0000,53.9727
42.0000,43.0557
45.0000,46.3324
30.0000,32.5661
32.0000,33.1449
27.0000,27.7242
21.0000,22.1969
24.0000,23.1312
36.0000,33.1611
33.0000,31.0651
14.0000,19.0534
13.0000,15.4270
11.0000,13.5889
15.0000,15.4774
17.0000,17.7863
17.0000,19.1088
17.0000,19.7020
14.0000,17.9313
19.0000,20.5282
6.0000,14.1610
6.0000,10.8891
9.0000,11.2548
9.0000,11.6808
13.0000,14.3665
15.0000,16.2047
13.0000,15.2012
18.0000,17.7856
20.0000,19.5727
26.0000,24.4350
28.0000,26.9492
26.0000,25.1714
38.0000,34.7150
30.0000,26.1250
25.0000,22.0516
30.0000,26.4894
24.0000,22.3288
23.0000,21.4106
22.0000,20.7271
16.0000,17.0008
15.0000,15.4234
15.0000,14.9677
26.0000,22.6538
7.0000,12.5962
20.0000,16.7039
9.0000,12.0229
9.0000,10.7375
16.0000,14.7046
7.0000,10.9861
8.0000,10.3013
16.0000,15.2754
20.0000,19.7472
23.0000,23.1724
18.0000,20.1726
27.0000,25.3802
28.0000,26.5326
